,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,city,churn,type_of_plan,highest_level_education,work_status,sex,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew_Offer_Type,reachability,type_of_vehicle
0,0,0,0,0,0,0,0,0,Tamale,No,primary_plan,Bachelor,Employed,female,Married,138,138,1,1,contacting_agent,2-door_car
1,1,1,1,1,1,1,1,1,Takoradi,No,extended_plan,Bachelor,Unemployed,female,Single,188,56,8,3,contacting_agent,4-door_car
2,2,2,2,2,2,2,2,2,Cape_coast,No,premium_plan,Bachelor,Employed,female,Married,216,77,2,1,contacting_agent,2-door_car
3,3,3,3,3,3,3,3,3,Accra,No,primary_plan,Bachelor,Unemployed,male,Married,212,77,7,1,customer_call_centre,SUV
4,4,4,4,4,4,4,4,4,Tamale,No,primary_plan,Bachelor,Employed,male,Single,146,52,1,1,contacting_agent,4-door_car
5,5,5,5,5,5,5,5,5,Kumasi,Yes,primary_plan,Bachelor,Employed,female,Married,138,60,2,2,via_the_web,2-door_car
6,6,6,6,6,6,6,6,6,Kumasi,Yes,primary_plan,College,Employed,female,Married,134,0,9,1,contacting_agent,4-door_car
7,7,7,7,7,7,7,7,7,Takoradi,No,premium_plan,Master,Unemployed,male,Single,202,0,4,1,contacting_agent,4-door_car
8,8,8,8,8,8,8,8,8,Kumasi,Yes,primary_plan,Bachelor,Medical Leave,male,Divorced,142,56,2,1,contacting_agent,4-door_car
9,9,9,9,9,9,9,9,9,Kumasi,No,extended_plan,College,Employed,female,Married,186,73,8,2,contacting_branch_directly,4-door_car
10,10,10,10,10,10,10,10,10,Accra,No,primary_plan,College,Unemployed,male,Single,134,99,3,1,contacting_agent,4-door_car
11,11,11,11,11,11,11,11,11,Accra,No,primary_plan,College,Unemployed,female,Married,220,116,3,2,contacting_agent,SUV
12,12,12,12,12,12,12,12,12,Accra,No,premium_plan,Master,Employed,male,Married,220,39,3,2,contacting_agent,4-door_car
13,13,13,13,13,13,13,13,13,Takoradi,Yes,primary_plan,High School or Below,Employed,male,Married,220,99,8,2,contacting_branch_directly,SUV
14,14,14,14,14,14,14,14,14,Accra,No,primary_plan,College,Employed,male,Single,140,90,8,4,customer_call_centre,4-door_car
15,15,15,15,15,15,15,15,15,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,128,52,2,2,contacting_branch_directly,4-door_car
16,16,16,16,16,16,16,16,16,Cape_coast,No,primary_plan,High School or Below,Medical Leave,male,Married,134,60,1,2,customer_call_centre,2-door_car
17,17,17,17,17,17,17,17,17,Accra,No,primary_plan,College,Medical Leave,male,Married,202,52,1,3,customer_call_centre,SUV
18,18,18,18,18,18,18,18,18,Kumasi,No,primary_plan,College,Employed,male,Married,144,39,7,2,contacting_branch_directly,4-door_car
19,19,19,19,19,19,19,19,19,Accra,No,premium_plan,High School or Below,Employed,female,Married,202,47,3,1,customer_call_centre,4-door_car
20,20,20,20,20,20,20,20,20,Kumasi,No,primary_plan,High School or Below,Employed,male,Single,148,133,1,1,contacting_branch_directly,2-door_car
21,21,21,21,21,21,21,21,21,Tamale,No,extended_plan,Bachelor,Disabled,female,Divorced,158,34,1,4,customer_call_centre,4-door_car
22,22,22,22,22,22,22,22,22,Takoradi,Yes,primary_plan,Bachelor,Medical Leave,male,Divorced,142,56,2,1,contacting_agent,4-door_car
23,23,23,23,23,23,23,23,23,Cape_coast,No,primary_plan,Bachelor,Unemployed,female,Single,146,17,1,1,contacting_branch_directly,4-door_car
24,24,24,24,24,24,24,24,24,Accra,No,primary_plan,Bachelor,Disabled,female,Married,122,129,1,2,contacting_branch_directly,4-door_car
25,25,25,25,25,25,25,25,25,Kumasi,No,primary_plan,College,Employed,male,Married,144,95,3,2,customer_call_centre,4-door_car
26,26,26,26,26,26,26,26,26,Accra,No,premium_plan,Bachelor,Unemployed,female,Single,222,64,1,1,contacting_agent,4-door_car
27,27,27,27,27,27,27,27,27,Tamale,No,extended_plan,Master,Disabled,female,Married,278,142,1,1,contacting_branch_directly,SUV
28,28,28,28,28,28,28,28,28,Takoradi,No,premium_plan,College,Employed,female,Single,222,142,2,1,customer_call_centre,4-door_car
29,29,29,29,29,29,29,29,29,Kumasi,No,extended_plan,Master,Employed,female,Married,160,73,1,2,contacting_branch_directly,4-door_car
30,30,30,30,30,30,30,30,30,Takoradi,No,primary_plan,College,Employed,male,Married,126,17,1,4,customer_call_centre,4-door_car
31,31,31,31,31,31,31,31,31,Cape_coast,No,extended_plan,High School or Below,Employed,male,Married,474,4,6,2,contacting_agent,luxurious_suv
32,32,32,32,32,32,32,32,32,Accra,No,primary_plan,Bachelor,Unemployed,male,Married,130,82,3,1,customer_call_centre,4-door_car
33,33,33,33,33,33,33,33,33,Tamale,No,primary_plan,Bachelor,Employed,male,Married,126,120,6,1,contacting_agent,2-door_car
34,34,34,34,34,34,34,34,34,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,124,82,8,3,via_the_web,4-door_car
35,35,35,35,35,35,35,35,35,Takoradi,No,primary_plan,High School or Below,Employed,female,Married,142,47,6,1,contacting_branch_directly,4-door_car
36,36,36,36,36,36,36,36,36,Accra,No,premium_plan,Bachelor,Employed,male,Married,234,43,2,1,contacting_agent,4-door_car
37,37,37,37,37,37,37,37,37,Kumasi,No,extended_plan,Master,Employed,female,Married,182,82,8,2,via_the_web,4-door_car
38,38,38,38,38,38,38,38,38,Kumasi,No,extended_plan,Bachelor,Unemployed,male,Single,180,30,1,3,contacting_agent,2-door_car
