,city,churn,type_of_plan,highest_level_education,work_status,sex,salary_monthly,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew Offer Type,reachability,claim_amount,type_of_vehicle
0,Tamale,No,primary_plan,Bachelor,Employed,female,9702.41379310345,Married,138,138.0,1,1,contacting_agent,384.811147,2-door_car
1,Takoradi,No,extended_plan,Bachelor,Unemployed,female,0.0,Single,188,56.0,8,3,contacting_agent,1131.464935,4-door_car
2,Cape_coast,No,premium_plan,Bachelor,Employed,female,8408.103448275862,Married,216,77.0,2,1,contacting_agent,566.472247,2-door_car
3,Accra,No,primary_plan,Bachelor,Unemployed,male,0.0,Married,212,77.0,7,1,customer_call_centre,529.881344,SUV
4,Tamale,No,primary_plan,Bachelor,Employed,male,7557.931034482759,Single,146,52.0,1,1,contacting_agent,138.130879,4-door_car
5,Kumasi,Yes,primary_plan,Bachelor,Employed,female,10845.172413793103,Married,138,60.0,2,2,via_the_web,159.383042,2-door_car
6,Kumasi,Yes,primary_plan,College,Employed,female,9543.103448275862,Married,134,0.0,9,1,contacting_agent,321.6,4-door_car
7,Takoradi,No,premium_plan,Master,Unemployed,male,0.0,Single,202,0.0,4,1,contacting_agent,363.02968,4-door_car
8,Kumasi,Yes,primary_plan,Bachelor,Medical Leave,male,2426.206896551724,Divorced,142,56.0,2,1,contacting_agent,511.2,4-door_car
9,Kumasi,No,extended_plan,College,Employed,female,4967.586206896552,Married,186,73.0,8,2,contacting_branch_directly,425.527834,4-door_car
10,Accra,No,primary_plan,College,Unemployed,male,0.0,Single,134,99.0,3,1,contacting_agent,482.4,4-door_car
11,Accra,No,primary_plan,College,Unemployed,female,0.0,Married,220,116.0,3,2,contacting_agent,528.0,SUV
12,Accra,No,premium_plan,Master,Employed,male,13280.344827586208,Married,220,39.0,3,2,contacting_agent,472.029737,4-door_car
13,Takoradi,Yes,primary_plan,High School or Below,Employed,male,17214.655172413793,Married,220,99.0,8,2,contacting_branch_directly,528.0,SUV
14,Accra,No,primary_plan,College,Employed,male,14429.137931034484,Single,140,90.0,8,4,customer_call_centre,307.139132,4-door_car
15,Kumasi,No,primary_plan,Bachelor,Employed,female,4241.206896551725,Married,128,52.0,2,2,contacting_branch_directly,42.920271,4-door_car
16,Cape_coast,No,primary_plan,High School or Below,Medical Leave,male,4318.793103448276,Married,134,60.0,1,2,customer_call_centre,454.245098,2-door_car
17,Accra,No,primary_plan,College,Medical Leave,male,4975.0,Married,202,52.0,1,3,customer_call_centre,647.442031,SUV
18,Kumasi,No,primary_plan,College,Employed,male,8818.620689655172,Married,144,39.0,7,2,contacting_branch_directly,308.981664,4-door_car
19,Accra,No,premium_plan,High School or Below,Employed,female,11403.448275862069,Married,202,47.0,3,1,customer_call_centre,484.8,4-door_car
20,Kumasi,No,primary_plan,High School or Below,Employed,male,9956.724137931034,Single,148,133.0,1,1,contacting_branch_directly,355.2,2-door_car
21,Tamale,No,extended_plan,Bachelor,Disabled,female,2377.4137931034484,Divorced,158,34.0,1,4,customer_call_centre,379.2,4-door_car
22,Takoradi,Yes,primary_plan,Bachelor,Medical Leave,male,2426.206896551724,Divorced,142,56.0,2,1,contacting_agent,511.2,4-door_car
23,Cape_coast,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,146,17.0,1,1,contacting_branch_directly,554.376763,4-door_car
24,Accra,No,primary_plan,Bachelor,Disabled,female,3081.034482758621,Married,122,129.0,1,2,contacting_branch_directly,439.2,4-door_car
25,Kumasi,No,primary_plan,College,Employed,male,16817.41379310345,Married,144,95.0,3,2,customer_call_centre,389.185006,4-door_car
26,Accra,No,premium_plan,Bachelor,Unemployed,female,0.0,Single,222,64.0,1,1,contacting_agent,799.2,4-door_car
27,Tamale,No,extended_plan,Master,Disabled,female,1812.2413793103449,Married,278,142.0,1,1,contacting_branch_directly,516.237951,SUV
28,Takoradi,No,premium_plan,College,Employed,female,14928.275862068966,Single,222,142.0,2,1,customer_call_centre,532.8,4-door_car
29,Kumasi,No,extended_plan,Master,Employed,female,13050.0,Married,160,73.0,1,2,contacting_branch_directly,384.0,4-door_car
30,Takoradi,No,primary_plan,College,Employed,male,3992.7586206896553,Married,126,17.0,1,4,customer_call_centre,322.294043,4-door_car
31,Cape_coast,No,extended_plan,High School or Below,Employed,male,11379.137931034484,Married,474,4.0,6,2,contacting_agent,615.927769,luxurious_suv
32,Accra,No,primary_plan,Bachelor,Unemployed,male,0.0,Married,130,82.0,3,1,customer_call_centre,308.15089,4-door_car
33,Tamale,No,primary_plan,Bachelor,Employed,male,9396.551724137931,Married,126,120.0,6,1,contacting_agent,302.4,2-door_car
34,Kumasi,No,primary_plan,Bachelor,Employed,female,6424.137931034483,Married,124,82.0,8,3,via_the_web,15.437681,4-door_car
35,Takoradi,No,primary_plan,High School or Below,Employed,female,11894.310344827589,Married,142,47.0,6,1,contacting_branch_directly,204.475147,4-door_car
36,Accra,No,premium_plan,Bachelor,Employed,male,7293.9655172413795,Married,234,43.0,2,1,contacting_agent,561.6,4-door_car
37,Kumasi,No,extended_plan,Master,Employed,female,11328.620689655172,Married,182,82.0,8,2,via_the_web,436.8,4-door_car
38,Kumasi,No,extended_plan,Bachelor,Unemployed,male,0.0,Single,180,30.0,1,3,contacting_agent,648.0,2-door_car
39,Takoradi,No,primary_plan,High School or Below,Employed,male,9179.827586206897,Divorced,132,17.0,1,1,customer_call_centre,157.397849,4-door_car
40,Cape_coast,No,primary_plan,High School or Below,Unemployed,female,0.0,Married,140,30.0,1,3,customer_call_centre,484.318536,2-door_car
41,Kumasi,Yes,primary_plan,College,Employed,female,8632.931034482759,Single,142,13.0,1,2,contacting_agent,18.918935,2-door_car
42,Accra,Yes,extended_plan,Bachelor,Employed,female,10348.448275862069,Married,198,52.0,1,2,contacting_agent,882.871945,4-door_car
43,Takoradi,No,primary_plan,High School or Below,Employed,male,7455.862068965517,Married,206,64.0,2,4,contacting_agent,494.4,Sports Car
44,Tamale,No,primary_plan,College,Employed,male,16005.862068965518,Married,122,64.0,1,2,customer_call_centre,292.8,4-door_car
45,Kumasi,No,premium_plan,Doctor,Disabled,female,1742.2413793103449,Married,344,22.0,3,1,contacting_branch_directly,0.517753,SUV
46,Takoradi,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,146,30.0,5,3,customer_call_centre,579.165954,4-door_car
47,Kumasi,No,primary_plan,High School or Below,Employed,female,4003.1034482758623,Single,142,30.0,4,4,contacting_agent,447.79344,2-door_car
48,Accra,No,extended_plan,Bachelor,Unemployed,female,0.0,Married,184,47.0,1,2,customer_call_centre,529.624084,4-door_car
49,Takoradi,No,primary_plan,High School or Below,Unemployed,female,0.0,Married,124,47.0,1,4,contacting_branch_directly,313.023175,4-door_car
50,Kumasi,No,primary_plan,College,Employed,male,4276.551724137931,Married,208,4.0,2,1,contacting_agent,593.830288,SUV
51,Accra,Yes,primary_plan,Bachelor,Employed,female,5722.413793103448,Divorced,212,77.0,2,1,via_the_web,508.8,SUV
